directorate	division	program
Directorate for Geosciences	Division of Atmospheric and Geospace Sciences	INSPIRE
Directorate for Geosciences	Division of Atmospheric and Geospace Sciences	CDI TYPE II
Directorate for Geosciences	Division of Atmospheric and Geospace Sciences	ITR SMALL GRANTS
Directorate for Geosciences	Division of Atmospheric and Geospace Sciences	GEOINFORMATICS
Directorate for Geosciences	Division of Atmospheric and Geospace Sciences	SSA-Special Studies & Analysis
Directorate for Geosciences	Division of Atmospheric and Geospace Sciences	GEO CI - GEO Cyberinfrastrctre
Directorate for Geosciences	Division of Atmospheric and Geospace Sciences	ACADEMIC RESEARCH INFRASTRUCTU
Directorate for Geosciences	Division of Atmospheric and Geospace Sciences	OUTREACH AND EDUCATION
Directorate for Geosciences	Division of Atmospheric and Geospace Sciences	ESD-Eng & Systems Design
Directorate for Geosciences	Division of Atmospheric and Geospace Sciences	Hurricane Harvey 2017
Directorate for Geosciences	Division of Atmospheric and Geospace Sciences	SPECIAL PROGRAMS IN ASTRONOMY
Directorate for Geosciences	Division of Atmospheric and Geospace Sciences	CONTROL, NETWORKS, & COMP INTE
Directorate for Geosciences	Division of Atmospheric and Geospace Sciences	ENVIR SOCIAL & BEHAVIOR SCIENC
Directorate for Geosciences	Division of Atmospheric and Geospace Sciences	Catalyzing New Intl Collab
Directorate for Geosciences	Division of Atmospheric and Geospace Sciences	Instrumentation & Facilities
Directorate for Geosciences	Division of Atmospheric and Geospace Sciences	GCR-Growing Convergence Resear
Directorate for Geosciences	Division of Atmospheric and Geospace Sciences	Climate Impact on Human Health
Directorate for Geosciences	Division of Atmospheric and Geospace Sciences	HDBE-Humans, Disasters, and th
Directorate for Geosciences	Division of Atmospheric and Geospace Sciences	GEOPHYSICS
Directorate for Geosciences	Division of Atmospheric and Geospace Sciences	EnvE-Environmental Engineering
Directorate for Geosciences	Division of Atmospheric and Geospace Sciences	BE: INSTRUM DEVELOP FOR ENV AC
Directorate for Geosciences	Division of Atmospheric and Geospace Sciences	NANOSCALE: INTRDISCPL RESRCH T
Directorate for Geosciences	Division of Atmospheric and Geospace Sciences	CCSS-Comms Circuits & Sens Sys
Directorate for Geosciences	Division of Atmospheric and Geospace Sciences	FACILITY SUPPORT
Directorate for Geosciences	Division of Atmospheric and Geospace Sciences	Hist Black Colleges and Univ
Directorate for Geosciences	Division of Atmospheric and Geospace Sciences	S&CC: Smart & Connected Commun
Directorate for Geosciences	Division of Atmospheric and Geospace Sciences	Sustainability Resrch Networks
Directorate for Geosciences	Division of Atmospheric and Geospace Sciences	Software Institutes
Directorate for Geosciences	Division of Atmospheric and Geospace Sciences	SEES Coastal
Directorate for Geosciences	Division of Atmospheric and Geospace Sciences	SEABED ASSESMENT
Directorate for Geosciences	Division of Atmospheric and Geospace Sciences	HEP-High Energy Physics
Directorate for Geosciences	Division of Atmospheric and Geospace Sciences	Studies of Policy Sci Eng Tech
Directorate for Geosciences	Division of Atmospheric and Geospace Sciences	DIGITAL SOCIETY&TECHNOLOGIES
Directorate for Geosciences	Division of Atmospheric and Geospace Sciences	SPECTROSCOPY
