directorate	division	program
Directorate for Engineering	Division of Civil, Mechanical, and Manufacturing Innovation	CreativeIT
Directorate for Engineering	Division of Civil, Mechanical, and Manufacturing Innovation	COMPUTATIONAL ENGINEERING
Directorate for Engineering	Division of Civil, Mechanical, and Manufacturing Innovation	HCC-Human-Centered Computing
Directorate for Engineering	Division of Civil, Mechanical, and Manufacturing Innovation	DASS-Dsgng Accntble SW Systms
Directorate for Engineering	Division of Civil, Mechanical, and Manufacturing Innovation	RESEARCH ON LEARNING & EDUCATI
Directorate for Engineering	Division of Civil, Mechanical, and Manufacturing Innovation	CCSS-Comms Circuits & Sens Sys
Directorate for Engineering	Division of Civil, Mechanical, and Manufacturing Innovation	AISL
Directorate for Engineering	Division of Civil, Mechanical, and Manufacturing Innovation	ALGORITHMS
Directorate for Engineering	Division of Civil, Mechanical, and Manufacturing Innovation	BioP-Biophotonics
Directorate for Engineering	Division of Civil, Mechanical, and Manufacturing Innovation	REGULATION & POLICY ANALYSIS
Directorate for Engineering	Division of Civil, Mechanical, and Manufacturing Innovation	SBIR Phase I
Directorate for Engineering	Division of Civil, Mechanical, and Manufacturing Innovation	PRIVATE SECTOR TECHNOLOGY
Directorate for Engineering	Division of Civil, Mechanical, and Manufacturing Innovation	ADVANCED COMP RESEARCH PROGRAM
Directorate for Engineering	Division of Civil, Mechanical, and Manufacturing Innovation	NNCO ACTIVITIES
Directorate for Engineering	Division of Civil, Mechanical, and Manufacturing Innovation	Physical & Dynamic Meteorology
Directorate for Engineering	Division of Civil, Mechanical, and Manufacturing Innovation	Robust Intelligence
Directorate for Engineering	Division of Civil, Mechanical, and Manufacturing Innovation	ENERGY RESEARCH & TECH
Directorate for Engineering	Division of Civil, Mechanical, and Manufacturing Innovation	Science Across Virtual Instits
Directorate for Engineering	Division of Civil, Mechanical, and Manufacturing Innovation	PHY,MATH,&ENG-CHEMISTRY
Directorate for Engineering	Division of Civil, Mechanical, and Manufacturing Innovation	DATA INTEROPERABILITY NETWORKS
Directorate for Engineering	Division of Civil, Mechanical, and Manufacturing Innovation	ASSP-Arctic Social Science
Directorate for Engineering	Division of Civil, Mechanical, and Manufacturing Innovation	Hurricane Irma 2017
Directorate for Engineering	Division of Civil, Mechanical, and Manufacturing Innovation	URBAN SYSTEMIC INITIATIVE PROG
Directorate for Engineering	Division of Civil, Mechanical, and Manufacturing Innovation	Algorithmic Foundations
Directorate for Engineering	Division of Civil, Mechanical, and Manufacturing Innovation	NATIONL EARTHQK HZRD REDCT PRG
Directorate for Engineering	Division of Civil, Mechanical, and Manufacturing Innovation	ENERGY SYSTEMS
Directorate for Engineering	Division of Civil, Mechanical, and Manufacturing Innovation	ENERGY CONVERSION
Directorate for Engineering	Division of Civil, Mechanical, and Manufacturing Innovation	CIVIL & ENVIRON ENGIN APPL-RES
Directorate for Engineering	Division of Civil, Mechanical, and Manufacturing Innovation	PROBLEMS OF POST-IND ECON
Directorate for Engineering	Division of Civil, Mechanical, and Manufacturing Innovation	Systems and Synthetic Biology
Directorate for Engineering	Division of Civil, Mechanical, and Manufacturing Innovation	CSR-Computer Systems Research
Directorate for Engineering	Division of Civil, Mechanical, and Manufacturing Innovation	COFFES
Directorate for Engineering	Division of Civil, Mechanical, and Manufacturing Innovation	INDIA - INDIVIDUAL TRAVEL
Directorate for Engineering	Division of Civil, Mechanical, and Manufacturing Innovation	STRUCTURE AND REACTIVITY
Directorate for Engineering	Division of Civil, Mechanical, and Manufacturing Innovation	NEXT GENERATION SOFTWARE PROGR
Directorate for Engineering	Division of Civil, Mechanical, and Manufacturing Innovation	PLASMA PHYSICS
Directorate for Engineering	Division of Civil, Mechanical, and Manufacturing Innovation	MINERAL MARKET BEHAVIOR
Directorate for Engineering	Division of Civil, Mechanical, and Manufacturing Innovation	Cellular Dynamics and Function
Directorate for Engineering	Division of Civil, Mechanical, and Manufacturing Innovation	SYSTEMS ANALYSIS
Directorate for Engineering	Division of Civil, Mechanical, and Manufacturing Innovation	PUBLIC POLICY & HUMAN RES
Directorate for Engineering	Division of Civil, Mechanical, and Manufacturing Innovation	MAGNETOSPHERIC PHYSICS
Directorate for Engineering	Division of Civil, Mechanical, and Manufacturing Innovation	ENG SCI IN CHEM,BIOCHEM & THER
Directorate for Engineering	Division of Civil, Mechanical, and Manufacturing Innovation	Special Projects - CCF
Directorate for Engineering	Division of Civil, Mechanical, and Manufacturing Innovation	REGIONAL PRODUCT RESEARCH
Directorate for Engineering	Division of Civil, Mechanical, and Manufacturing Innovation	CISE Research Resources
Directorate for Engineering	Division of Civil, Mechanical, and Manufacturing Innovation	COLLABORATIVE SYSTEMS
Directorate for Engineering	Division of Civil, Mechanical, and Manufacturing Innovation	ANS-Arctic Natural Sciences
Directorate for Engineering	Division of Civil, Mechanical, and Manufacturing Innovation	PHYSICS OF LIVING SYSTEMS
Directorate for Engineering	Division of Civil, Mechanical, and Manufacturing Innovation	Methodology, Measuremt & Stats
Directorate for Engineering	Division of Civil, Mechanical, and Manufacturing Innovation	COMMUNICATIONS RESEARCH
Directorate for Engineering	Division of Civil, Mechanical, and Manufacturing Innovation	Hist Black Colleges and Univ
Directorate for Engineering	Division of Civil, Mechanical, and Manufacturing Innovation	ELEC,COMP& SYS ENG-APP RE
Directorate for Engineering	Division of Civil, Mechanical, and Manufacturing Innovation	AUSTRALIA
Directorate for Engineering	Division of Civil, Mechanical, and Manufacturing Innovation	COMPUTER SYSTEMS ARCHITECTURE
Directorate for Engineering	Division of Civil, Mechanical, and Manufacturing Innovation	HUMAN COGNITION & PERCEPTION
Directorate for Engineering	Division of Civil, Mechanical, and Manufacturing Innovation	MATHEMATICAL BIOLOGY
Directorate for Engineering	Division of Civil, Mechanical, and Manufacturing Innovation	Comp&Data Driven Mat Res(CDMR)
Directorate for Engineering	Division of Civil, Mechanical, and Manufacturing Innovation	COMPUT GAME THEORY & ECON
Directorate for Engineering	Division of Civil, Mechanical, and Manufacturing Innovation	TRANS TO QUAL ORG PROG-PROGRAM
Directorate for Engineering	Division of Civil, Mechanical, and Manufacturing Innovation	RSCH EXPER FOR UNDERGRAD SITES
Directorate for Engineering	Division of Civil, Mechanical, and Manufacturing Innovation	NON-LIMITATION RECOVERIES
Directorate for Engineering	Division of Civil, Mechanical, and Manufacturing Innovation	SPECIAL PROJECTS IN NET RESEAR
Directorate for Engineering	Division of Civil, Mechanical, and Manufacturing Innovation	NETWORKING RESEARCH
Directorate for Engineering	Division of Civil, Mechanical, and Manufacturing Innovation	CHEM & PROCESS ENG-APP RE
Directorate for Engineering	Division of Civil, Mechanical, and Manufacturing Innovation	Population & Community Ecology
Directorate for Engineering	Division of Civil, Mechanical, and Manufacturing Innovation	ENVIR SOCIAL & BEHAVIOR SCIENC
Directorate for Engineering	Division of Civil, Mechanical, and Manufacturing Innovation	CONSTRUCTION ENGINEER&BLDG RES
Directorate for Engineering	Division of Civil, Mechanical, and Manufacturing Innovation	DATA NOT AVAILABLE
Directorate for Engineering	Division of Civil, Mechanical, and Manufacturing Innovation	Social Psychology
Directorate for Engineering	Division of Civil, Mechanical, and Manufacturing Innovation	OPPORTUNITY FUND, TCW
Directorate for Engineering	Division of Civil, Mechanical, and Manufacturing Innovation	CCLI-ADAPTATION AND IMPLEMENTA
Directorate for Engineering	Division of Civil, Mechanical, and Manufacturing Innovation	MPS DMR INSTRUMENTATION
Directorate for Engineering	Division of Civil, Mechanical, and Manufacturing Innovation	SYSTEMS THEORY
Directorate for Engineering	Division of Civil, Mechanical, and Manufacturing Innovation	INTELLIGENT SYSTEMS
Directorate for Engineering	Division of Civil, Mechanical, and Manufacturing Innovation	RENEWABLE RESOURCES
Directorate for Engineering	Division of Civil, Mechanical, and Manufacturing Innovation	SYNTHETIC ORGANIC & NAT PRODUC
Directorate for Engineering	Division of Civil, Mechanical, and Manufacturing Innovation	INTEGRATED BASIC RESEARCH
Directorate for Engineering	Division of Civil, Mechanical, and Manufacturing Innovation	SOLID-STATE CHEMSTRY & POLYMRS
Directorate for Engineering	Division of Civil, Mechanical, and Manufacturing Innovation	Sociology
Directorate for Engineering	Division of Civil, Mechanical, and Manufacturing Innovation	SCIENCE IN DEVELOPING COUNTRIE
Directorate for Engineering	Division of Civil, Mechanical, and Manufacturing Innovation	LAW, SCIENCE & TECHNOLOGY
Directorate for Engineering	Division of Civil, Mechanical, and Manufacturing Innovation	PUBLIC SECTOR PRODUCTIVTY
Directorate for Engineering	Division of Civil, Mechanical, and Manufacturing Innovation	BIOLOGICAL OCEANOGRAPHY
Directorate for Engineering	Division of Civil, Mechanical, and Manufacturing Innovation	Tectonics
Directorate for Engineering	Division of Civil, Mechanical, and Manufacturing Innovation	REAL
Directorate for Engineering	Division of Civil, Mechanical, and Manufacturing Innovation	EUKARYOTIC GENETICS
Directorate for Engineering	Division of Civil, Mechanical, and Manufacturing Innovation	SCEC
Directorate for Engineering	Division of Civil, Mechanical, and Manufacturing Innovation	OCEAN ENGINEERING SYSTEMS
Directorate for Engineering	Division of Civil, Mechanical, and Manufacturing Innovation	Leadership-Class Computing
Directorate for Engineering	Division of Civil, Mechanical, and Manufacturing Innovation	INNOVATIVE BIOSYNTHESIS
Directorate for Engineering	Division of Civil, Mechanical, and Manufacturing Innovation	HURRICANE KATRINA
Directorate for Engineering	Division of Civil, Mechanical, and Manufacturing Innovation	ENVIRONMENTAL GENOMICS
Directorate for Engineering	Division of Civil, Mechanical, and Manufacturing Innovation	TAIWAN
Directorate for Engineering	Division of Civil, Mechanical, and Manufacturing Innovation	PRODUCTIVITY IMPROVEMENT RESEA
Directorate for Engineering	Division of Civil, Mechanical, and Manufacturing Innovation	IBN ANIMAL BEHAVIOR
Directorate for Engineering	Division of Civil, Mechanical, and Manufacturing Innovation	SoO-Science Of Organizations
Directorate for Engineering	Division of Civil, Mechanical, and Manufacturing Innovation	VOLCANOLOGY & MANTLE GEOCHEMIS
Directorate for Engineering	Division of Civil, Mechanical, and Manufacturing Innovation	THEORY OF COMPUTING
Directorate for Engineering	Division of Civil, Mechanical, and Manufacturing Innovation	DEVELOPMENTAL SYSTEMS CLUSTER
Directorate for Engineering	Division of Civil, Mechanical, and Manufacturing Innovation	MECHANICAL SYSTEMS
Directorate for Engineering	Division of Civil, Mechanical, and Manufacturing Innovation	DUE COURSE & CURRICULUM PROG
Directorate for Engineering	Division of Civil, Mechanical, and Manufacturing Innovation	Special Projects
Directorate for Engineering	Division of Civil, Mechanical, and Manufacturing Innovation	PHYSIOLOG & STRUCTURAL SYS
Directorate for Engineering	Division of Civil, Mechanical, and Manufacturing Innovation	RESOURCE SYSTEMS-NON-FOOD
Directorate for Engineering	Division of Civil, Mechanical, and Manufacturing Innovation	ELECTRONIC/PHOTONIC MATERIALS
Directorate for Engineering	Division of Civil, Mechanical, and Manufacturing Innovation	SRS- Sustainable Regional Syst
Directorate for Engineering	Division of Civil, Mechanical, and Manufacturing Innovation	LAND USE POLICY
Directorate for Engineering	Division of Civil, Mechanical, and Manufacturing Innovation	COOPERATIVE SCIENCE,OTHER
Directorate for Engineering	Division of Civil, Mechanical, and Manufacturing Innovation	COMPUTATIONAL PHYSICS
Directorate for Engineering	Division of Civil, Mechanical, and Manufacturing Innovation	FRANCE
Directorate for Engineering	Division of Civil, Mechanical, and Manufacturing Innovation	KINETICS,CATALYSIS&REACTION EN
Directorate for Engineering	Division of Civil, Mechanical, and Manufacturing Innovation	QUANT ELECTRON,PLASMA& ELECTRO
Directorate for Engineering	Division of Civil, Mechanical, and Manufacturing Innovation	F.Y. 1974 PROJECTS
Directorate for Engineering	Division of Civil, Mechanical, and Manufacturing Innovation	R&D ENERGY POLICY PROGRAM
Directorate for Engineering	Division of Civil, Mechanical, and Manufacturing Innovation	EARTHQUAKE ENGINEERING
Directorate for Engineering	Division of Civil, Mechanical, and Manufacturing Innovation	COMMU SYSTEMS & SIGNAL PROCESS
Directorate for Engineering	Division of Civil, Mechanical, and Manufacturing Innovation	AUTO, INSTRUMENT & SENSING SYS
Directorate for Engineering	Division of Civil, Mechanical, and Manufacturing Innovation	HEATING&COOLING BUILDIN1S
Directorate for Engineering	Division of Civil, Mechanical, and Manufacturing Innovation	Studies of Policy Sci Eng Tech
Directorate for Engineering	Division of Civil, Mechanical, and Manufacturing Innovation	GERMANY (F.R.G.)
Directorate for Engineering	Division of Civil, Mechanical, and Manufacturing Innovation	BE: INSTRUM DEVELOP FOR ENV AC
Directorate for Engineering	Division of Civil, Mechanical, and Manufacturing Innovation	US/USSR ACTIVITIES
Directorate for Engineering	Division of Civil, Mechanical, and Manufacturing Innovation	SOFTWARE ENGINEERING AND LANGU
Directorate for Engineering	Division of Civil, Mechanical, and Manufacturing Innovation	OPPORTUNITY SEED FUNDS
Directorate for Engineering	Division of Civil, Mechanical, and Manufacturing Innovation	BIOCOMPLEXITY
Directorate for Engineering	Division of Civil, Mechanical, and Manufacturing Innovation	NSF Public Access Initiative
Directorate for Engineering	Division of Civil, Mechanical, and Manufacturing Innovation	DEEP MINERAL RESOURCES
Directorate for Engineering	Division of Civil, Mechanical, and Manufacturing Innovation	INSTRUMENTAT & INSTRUMENT DEVP
Directorate for Engineering	Division of Civil, Mechanical, and Manufacturing Innovation	Other PRA-Othr Prgrm Rltd Admn
Directorate for Engineering	Division of Civil, Mechanical, and Manufacturing Innovation	LONG TERM VISITORS
Directorate for Engineering	Division of Civil, Mechanical, and Manufacturing Innovation	CHEMICAL & BIOCHEMICAL SYSTEMS
Directorate for Engineering	Division of Civil, Mechanical, and Manufacturing Innovation	JAPAN
Directorate for Engineering	Division of Civil, Mechanical, and Manufacturing Innovation	PHYSICS AT THE INFO FRONTIER
Directorate for Engineering	Division of Civil, Mechanical, and Manufacturing Innovation	TUES-Type 1 Project
Directorate for Engineering	Division of Civil, Mechanical, and Manufacturing Innovation	TECHNICAL INNOVATION PROJECTS
Directorate for Engineering	Division of Civil, Mechanical, and Manufacturing Innovation	RESOURCE SYSTEMS
Directorate for Engineering	Division of Civil, Mechanical, and Manufacturing Innovation	COMMUNITY WATER MANAGEMENT
Directorate for Engineering	Division of Civil, Mechanical, and Manufacturing Innovation	ELECTROCHEMISTRY & SURFACE CHE
Directorate for Engineering	Division of Civil, Mechanical, and Manufacturing Innovation	NEON-Concept & Development
Directorate for Engineering	Division of Civil, Mechanical, and Manufacturing Innovation	Networking Technology and Syst
Directorate for Engineering	Division of Civil, Mechanical, and Manufacturing Innovation	Genetic Mechanisms
Directorate for Engineering	Division of Civil, Mechanical, and Manufacturing Innovation	LARGE-SCALE DYNAMIC METEOROLOG
Directorate for Engineering	Division of Civil, Mechanical, and Manufacturing Innovation	Climate & Large-Scale Dynamics
Directorate for Engineering	Division of Civil, Mechanical, and Manufacturing Innovation	AERONOMY
Directorate for Engineering	Division of Civil, Mechanical, and Manufacturing Innovation	GEOPHYSICS
Directorate for Engineering	Division of Civil, Mechanical, and Manufacturing Innovation	BRAZIL
Directorate for Engineering	Division of Civil, Mechanical, and Manufacturing Innovation	Marine Geology and Geophysics
Directorate for Engineering	Division of Civil, Mechanical, and Manufacturing Innovation	GRAD TEACHING FELLOWS IN K-12
Directorate for Engineering	Division of Civil, Mechanical, and Manufacturing Innovation	APPROPRIATE TECHNOLOGY
Directorate for Engineering	Division of Civil, Mechanical, and Manufacturing Innovation	ARCHAEOMETRY
Directorate for Engineering	Division of Civil, Mechanical, and Manufacturing Innovation	EMERGING TOPICS
Directorate for Engineering	Division of Civil, Mechanical, and Manufacturing Innovation	RSRCS STUDIES & ASSESSMNT
Directorate for Engineering	Division of Civil, Mechanical, and Manufacturing Innovation	COMPUTER ENGINEERING (OTHER)
Directorate for Engineering	Division of Civil, Mechanical, and Manufacturing Innovation	YUGOSLAVIA
Directorate for Engineering	Division of Civil, Mechanical, and Manufacturing Innovation	INFRASTRUCTURE PROGRAM
Directorate for Engineering	Division of Civil, Mechanical, and Manufacturing Innovation	Cross-Directorate  Activities
Directorate for Engineering	Division of Civil, Mechanical, and Manufacturing Innovation	Cyberlearn & Future Learn Tech
Directorate for Engineering	Division of Civil, Mechanical, and Manufacturing Innovation	CIVIL & ENVIRONMENTAL TEC
Directorate for Engineering	Division of Civil, Mechanical, and Manufacturing Innovation	INTRODUCT CURRICULUM PROJECTS
Directorate for Engineering	Division of Civil, Mechanical, and Manufacturing Innovation	QUANTUM CALCULATIONS
Directorate for Engineering	Division of Civil, Mechanical, and Manufacturing Innovation	Evolutionary Processes
Directorate for Engineering	Division of Civil, Mechanical, and Manufacturing Innovation	SCIENTIFIC RESEARCH
Directorate for Engineering	Division of Civil, Mechanical, and Manufacturing Innovation	CONDENSED MATTER PHYSICS
Directorate for Engineering	Division of Civil, Mechanical, and Manufacturing Innovation	ADVANCED TECHNOLOGIES & INSTRM
Directorate for Engineering	Division of Civil, Mechanical, and Manufacturing Innovation	ANALYSIS PROGRAM
Directorate for Engineering	Division of Civil, Mechanical, and Manufacturing Innovation	MATERIALS RSCH SCI & ENG CENT
Directorate for Engineering	Division of Civil, Mechanical, and Manufacturing Innovation	ALTERNATIVE FOOD SYSTEMS
Directorate for Engineering	Division of Civil, Mechanical, and Manufacturing Innovation	INT INDUS/UNIV/GOV COOP RESRCH
Directorate for Engineering	Division of Civil, Mechanical, and Manufacturing Innovation	WATER RES, URBAN & ENVIRN
Directorate for Engineering	Division of Civil, Mechanical, and Manufacturing Innovation	NONCONVENTIONAL FOODS
Directorate for Engineering	Division of Civil, Mechanical, and Manufacturing Innovation	EDUCATION AND WORKFORCE
Directorate for Engineering	Division of Civil, Mechanical, and Manufacturing Innovation	TURKEY
Directorate for Engineering	Division of Civil, Mechanical, and Manufacturing Innovation	INDIA-GROUP TRAVEL
Directorate for Engineering	Division of Civil, Mechanical, and Manufacturing Innovation	COOPERATIVE SCIENCE PROGRAM
Directorate for Engineering	Division of Civil, Mechanical, and Manufacturing Innovation	RESOURCE DEVELOP & CONSER
Directorate for Engineering	Division of Civil, Mechanical, and Manufacturing Innovation	Ethics & Values of SET
Directorate for Engineering	Division of Civil, Mechanical, and Manufacturing Innovation	INTERNATIONAL INFO & ANALYSIS
Directorate for Engineering	Division of Civil, Mechanical, and Manufacturing Innovation	Geobiology & Low-Temp Geochem
Directorate for Engineering	Division of Civil, Mechanical, and Manufacturing Innovation	EARTHSCOPE-SCIENCE UTILIZATION
Directorate for Engineering	Division of Civil, Mechanical, and Manufacturing Innovation	STATISTICAL AND SIMULATIONS
Directorate for Engineering	Division of Civil, Mechanical, and Manufacturing Innovation	CESER-Cyberinfrastructure for
Directorate for Engineering	Division of Civil, Mechanical, and Manufacturing Innovation	ADVANCE - LEADERSHIP
Directorate for Engineering	Division of Civil, Mechanical, and Manufacturing Innovation	DIGITAL GOVERNMENT
Directorate for Engineering	Division of Civil, Mechanical, and Manufacturing Innovation	NETWORK CENTRIC MIDDLEWARE SVC
Directorate for Engineering	Division of Civil, Mechanical, and Manufacturing Innovation	ITR LARGE GRANTS
Directorate for Engineering	Division of Chemical, Bioengineering, Environmental, and Transport Systems	FD-Fluid Dynamics
Directorate for Engineering	Division of Chemical, Bioengineering, Environmental, and Transport Systems	EnvE-Environmental Engineering
Directorate for Engineering	Division of Chemical, Bioengineering, Environmental, and Transport Systems	Engineering of Biomed Systems
Directorate for Engineering	Division of Chemical, Bioengineering, Environmental, and Transport Systems	Cellular & Biochem Engineering
Directorate for Engineering	Division of Chemical, Bioengineering, Environmental, and Transport Systems	PMP-Particul&MultiphaseProcess
Directorate for Engineering	Division of Chemical, Bioengineering, Environmental, and Transport Systems	TTP-Thermal Transport Process
Directorate for Engineering	Division of Chemical, Bioengineering, Environmental, and Transport Systems	Catalysis
Directorate for Engineering	Division of Chemical, Bioengineering, Environmental, and Transport Systems	Proc Sys, Reac Eng & Mol Therm
Directorate for Engineering	Division of Chemical, Bioengineering, Environmental, and Transport Systems	Interfacial Engineering Progra
Directorate for Engineering	Division of Chemical, Bioengineering, Environmental, and Transport Systems	EnvS-Environmtl Sustainability
Directorate for Engineering	Division of Chemical, Bioengineering, Environmental, and Transport Systems	INTERFAC PROCESSES & THERMODYN
Directorate for Engineering	Division of Chemical, Bioengineering, Environmental, and Transport Systems	GOALI-Grnt Opp Acad Lia wIndus
Directorate for Engineering	Division of Chemical, Bioengineering, Environmental, and Transport Systems	CFS-Combustion & Fire Systems
Directorate for Engineering	Division of Chemical, Bioengineering, Environmental, and Transport Systems	EchemS-Electrochemical Systems
Directorate for Engineering	Division of Chemical, Bioengineering, Environmental, and Transport Systems	Special Initiatives
Directorate for Engineering	Division of Chemical, Bioengineering, Environmental, and Transport Systems	Major Research Instrumentation
Directorate for Engineering	Division of Chemical, Bioengineering, Environmental, and Transport Systems	Disability & Rehab Engineering
Directorate for Engineering	Division of Chemical, Bioengineering, Environmental, and Transport Systems	EPSCoR Co-Funding
Directorate for Engineering	Division of Chemical, Bioengineering, Environmental, and Transport Systems	Nanoscale Interactions Program
Directorate for Engineering	Division of Chemical, Bioengineering, Environmental, and Transport Systems	BioP-Biophotonics
Directorate for Engineering	Division of Chemical, Bioengineering, Environmental, and Transport Systems	BIOCHEMICAL & BIOMASS ENG
Directorate for Engineering	Division of Chemical, Bioengineering, Environmental, and Transport Systems	SSA-Special Studies & Analysis
Directorate for Engineering	Division of Chemical, Bioengineering, Environmental, and Transport Systems	BIOSENS-Biosensing
Directorate for Engineering	Division of Chemical, Bioengineering, Environmental, and Transport Systems	EDA-Eng Diversity Activities
Directorate for Engineering	Division of Chemical, Bioengineering, Environmental, and Transport Systems	NANOSCALE: INTRDISCPL RESRCH T
Directorate for Engineering	Division of Chemical, Bioengineering, Environmental, and Transport Systems	International Research Collab
Directorate for Engineering	Division of Chemical, Bioengineering, Environmental, and Transport Systems	FM-Future Manufacturing
Directorate for Engineering	Division of Chemical, Bioengineering, Environmental, and Transport Systems	EWFD-Eng Workforce Development
Directorate for Engineering	Division of Chemical, Bioengineering, Environmental, and Transport Systems	Sustainability Resrch Networks
Directorate for Engineering	Division of Chemical, Bioengineering, Environmental, and Transport Systems	CROSS-DIRECTORATE PROGRAMS
Directorate for Engineering	Division of Chemical, Bioengineering, Environmental, and Transport Systems	STC Integrative Partnrshps Adm
Directorate for Engineering	Division of Chemical, Bioengineering, Environmental, and Transport Systems	Systems and Synthetic Biology
Directorate for Engineering	Division of Chemical, Bioengineering, Environmental, and Transport Systems	Track 3 INFEWS
Directorate for Engineering	Division of Chemical, Bioengineering, Environmental, and Transport Systems	EFRI Research Projects
Directorate for Engineering	Division of Chemical, Bioengineering, Environmental, and Transport Systems	GCR-Growing Convergence Resear
Directorate for Engineering	Division of Chemical, Bioengineering, Environmental, and Transport Systems	AI Research Institutes
Directorate for Engineering	Division of Chemical, Bioengineering, Environmental, and Transport Systems	DMREF
Directorate for Engineering	Division of Chemical, Bioengineering, Environmental, and Transport Systems	COMMUNITY WATER MANAGEMENT
Directorate for Engineering	Division of Chemical, Bioengineering, Environmental, and Transport Systems	EngEd-Engineering Education
Directorate for Engineering	Division of Chemical, Bioengineering, Environmental, and Transport Systems	ECO-CBET
Directorate for Engineering	Division of Chemical, Bioengineering, Environmental, and Transport Systems	SPECIAL PROGRAMS-RESERVE
Directorate for Engineering	Division of Chemical, Bioengineering, Environmental, and Transport Systems	CR-Water Sustainability & Clim
Directorate for Engineering	Division of Chemical, Bioengineering, Environmental, and Transport Systems	SRS- Sustainable Regional Syst
Directorate for Engineering	Division of Chemical, Bioengineering, Environmental, and Transport Systems	CDS&E
Directorate for Engineering	Division of Chemical, Bioengineering, Environmental, and Transport Systems	Track 1 INFEWS
Directorate for Engineering	Division of Chemical, Bioengineering, Environmental, and Transport Systems	Cross-BIO Activities
Directorate for Engineering	Division of Chemical, Bioengineering, Environmental, and Transport Systems	EARTHQUAKE HAZARDS MITIGAT DES
Directorate for Engineering	Division of Chemical, Bioengineering, Environmental, and Transport Systems	CHEMICAL THREATS TO MAN & ENVI
Directorate for Engineering	Division of Chemical, Bioengineering, Environmental, and Transport Systems	CET Strategic Investments
Directorate for Engineering	Division of Chemical, Bioengineering, Environmental, and Transport Systems	STS-Sci, Tech & Society
Directorate for Engineering	Division of Chemical, Bioengineering, Environmental, and Transport Systems	STCs - 2010 Class
Directorate for Engineering	Division of Chemical, Bioengineering, Environmental, and Transport Systems	STCs - 2021 Class
Directorate for Engineering	Division of Chemical, Bioengineering, Environmental, and Transport Systems	STCs - 2023 Class
Directorate for Engineering	Division of Chemical, Bioengineering, Environmental, and Transport Systems	Catalyzing New Intl Collab
Directorate for Engineering	Division of Chemical, Bioengineering, Environmental, and Transport Systems	HBCU-EiR - HBCU-Excellence in
Directorate for Engineering	Division of Chemical, Bioengineering, Environmental, and Transport Systems	STC CLASS OF 2002
Directorate for Engineering	Division of Chemical, Bioengineering, Environmental, and Transport Systems	INDUSTRY/UNIV COOP RESEAR
Directorate for Engineering	Division of Chemical, Bioengineering, Environmental, and Transport Systems	RECODE
Directorate for Engineering	Division of Chemical, Bioengineering, Environmental, and Transport Systems	EARTHQUAKE HAZDS MITIGAT-SITIN
Directorate for Engineering	Division of Chemical, Bioengineering, Environmental, and Transport Systems	TRIPODS Transdisciplinary Rese
Directorate for Engineering	Division of Chemical, Bioengineering, Environmental, and Transport Systems	COASTAL ZONE MANAGEMENT
Directorate for Engineering	Division of Chemical, Bioengineering, Environmental, and Transport Systems	OCEAN ENGINEERING SYSTEMS
Directorate for Engineering	Division of Chemical, Bioengineering, Environmental, and Transport Systems	BMMB-Biomech & Mechanobiology
Directorate for Engineering	Division of Chemical, Bioengineering, Environmental, and Transport Systems	Special Projects - CCF
Directorate for Engineering	Division of Chemical, Bioengineering, Environmental, and Transport Systems	OFFICE OF MULTIDISCIPLINARY AC
Directorate for Engineering	Division of Chemical, Bioengineering, Environmental, and Transport Systems	POLYMERS
Directorate for Engineering	Division of Chemical, Bioengineering, Environmental, and Transport Systems	ENG NNI Special Studies
Directorate for Engineering	Division of Chemical, Bioengineering, Environmental, and Transport Systems	PROJECTS
Directorate for Engineering	Division of Chemical, Bioengineering, Environmental, and Transport Systems	EARTHQUAKE ENGINEERING
Directorate for Engineering	Division of Chemical, Bioengineering, Environmental, and Transport Systems	DMR SHORT TERM SUPPORT
Directorate for Engineering	Division of Chemical, Bioengineering, Environmental, and Transport Systems	MSPA-INTERDISCIPLINARY
Directorate for Engineering	Division of Chemical, Bioengineering, Environmental, and Transport Systems	EPMD-ElectrnPhoton&MagnDevices
Directorate for Engineering	Division of Chemical, Bioengineering, Environmental, and Transport Systems	ERC-Eng Research Centers
Directorate for Engineering	Division of Chemical, Bioengineering, Environmental, and Transport Systems	MATERIALS PROCESSING AND MANFG
Directorate for Engineering	Division of Chemical, Bioengineering, Environmental, and Transport Systems	Eddie Bernice Johnson INCLUDES
Directorate for Engineering	Division of Chemical, Bioengineering, Environmental, and Transport Systems	IUSE
Directorate for Engineering	Division of Chemical, Bioengineering, Environmental, and Transport Systems	HSI-Hispanic Serving Instituti
Directorate for Engineering	Division of Chemical, Bioengineering, Environmental, and Transport Systems	Ecosystem Science
Directorate for Engineering	Division of Chemical, Bioengineering, Environmental, and Transport Systems	INSPIRE
Directorate for Engineering	Division of Chemical, Bioengineering, Environmental, and Transport Systems	BE-MAT USE:SCIENCE,ENG&SOCIETY
Directorate for Engineering	Division of Chemical, Bioengineering, Environmental, and Transport Systems	CDI TYPE II
Directorate for Engineering	Division of Chemical, Bioengineering, Environmental, and Transport Systems	COMPUTATIONAL MATHEMATICS
Directorate for Engineering	Division of Chemical, Bioengineering, Environmental, and Transport Systems	ENG IDR-Eng Interdisciplin Res
Directorate for Engineering	Division of Chemical, Bioengineering, Environmental, and Transport Systems	BIOMATERIALS PROGRAM
